iter	Passed	Remaining
0	141	140904
1	141	70812
2	142	47457
3	143	35701
4	143	28631
5	144	23923
6	144	20555
7	145	18032
8	145	16067
9	146	14496
10	146	13209
11	147	12137
12	147	11230
13	148	10452
14	148	9778
15	149	9188
16	149	8667
17	150	8204
18	150	7790
19	151	7417
20	151	7081
21	152	6774
22	152	6494
23	153	6237
24	153	6003
25	154	5785
26	154	5583
27	155	5396
28	155	5221
29	156	5059
30	156	4906
31	157	4763
32	157	4629
33	158	4503
34	159	4384
35	159	4271
36	160	4164
37	160	4063
38	161	3967
39	161	3876
40	162	3790
41	162	3707
42	163	3628
43	163	3553
44	164	3481
45	164	3412
46	165	3345
47	165	3282
48	165	3221
49	166	3163
50	167	3107
51	167	3054
52	168	3002
53	168	2952
54	169	2904
55	169	2857
56	170	2812
57	170	2769
58	171	2727
59	171	2687
60	172	2650
61	172	2613
62	173	2579
63	174	2545
64	174	2511
65	175	2478
66	175	2445
67	175	2411
68	176	2380
69	176	2351
70	177	2322
71	178	2294
72	178	2267
73	179	2241
74	179	2216
75	180	2190
76	180	2165
77	181	2141
78	181	2119
79	182	2096
80	182	2074
81	183	2052
82	183	2031
83	184	2010
84	184	1987
85	185	1967
86	185	1946
87	185	1927
88	186	1908
89	186	1890
90	187	1872
91	187	1855
92	188	1837
93	188	1821
94	189	1804
95	189	1788
96	190	1772
97	190	1757
98	191	1742
99	191	1727
100	192	1712
101	192	1696
102	193	1682
103	193	1668
104	194	1654
105	194	1641
106	195	1628
107	195	1616
108	196	1606
109	197	1594
110	197	1583
111	198	1572
112	198	1560
113	199	1549
114	199	1538
115	200	1527
116	200	1516
117	201	1505
118	201	1494
119	202	1484
120	202	1473
121	203	1463
122	203	1452
123	204	1442
124	204	1432
125	205	1423
126	205	1413
127	206	1403
128	206	1394
129	207	1385
130	207	1376
131	208	1367
132	208	1359
133	208	1350
134	209	1342
135	209	1334
136	210	1325
137	210	1317
138	211	1309
139	211	1301
140	212	1293
141	212	1286
142	213	1278
143	213	1271
144	214	1263
145	214	1256
146	215	1249
147	215	1242
148	216	1236
149	217	1229
150	217	1223
151	218	1216
152	218	1210
153	219	1204
154	220	1199
155	220	1193
156	221	1186
157	221	1180
158	222	1174
159	222	1168
160	223	1162
161	223	1156
162	224	1150
163	224	1144
164	224	1138
165	225	1132
166	225	1127
167	226	1121
168	226	1115
169	227	1110
170	227	1105
171	228	1099
172	228	1094
173	229	1089
174	229	1084
175	230	1078
176	230	1073
177	231	1068
178	231	1063
179	232	1058
180	232	1052
181	233	1047
182	233	1043
183	234	1038
184	234	1033
185	235	1029
186	235	1024
187	236	1019
188	236	1015
189	237	1011
190	237	1006
191	238	1002
192	238	998
193	239	993
194	239	989
195	240	985
196	240	981
197	241	977
198	241	973
199	242	968
200	242	964
201	243	960
202	243	956
203	244	953
204	244	949
205	245	945
206	245	941
207	246	937
208	246	933
209	247	930
210	247	926
211	248	922
212	248	919
213	249	915
214	249	912
215	250	908
216	250	905
217	251	901
218	251	897
219	252	894
220	252	890
221	253	887
222	253	884
223	254	881
224	255	878
225	255	876
226	256	873
227	256	870
228	257	868
229	258	865
230	259	862
231	259	859
232	260	856
233	260	853
234	261	850
235	261	847
236	262	844
237	262	841
238	263	838
239	263	835
240	264	832
241	264	829
242	265	826
243	265	823
244	266	820
245	266	818
246	267	815
247	267	812
248	268	809
249	268	806
250	269	804
251	270	802
252	270	799
253	271	797
254	271	794
255	272	791
256	273	789
257	273	786
258	274	783
259	274	781
260	275	778
261	275	776
262	276	773
263	276	770
264	276	768
265	277	765
266	278	763
267	278	760
268	278	758
269	279	755
270	279	753
271	280	750
272	280	748
273	281	745
274	281	743
275	282	740
276	283	738
277	283	736
278	284	734
279	284	732
280	285	730
281	285	727
282	286	725
283	286	723
284	287	721
285	287	718
286	288	716
287	288	714
288	289	712
289	289	709
290	290	707
291	290	705
292	291	703
293	291	701
294	292	699
295	293	696
296	293	694
297	294	692
298	294	690
299	295	688
300	295	686
301	296	684
302	296	682
303	297	680
304	297	678
305	298	676
306	298	674
307	299	672
308	299	670
309	300	668
310	300	666
311	301	664
312	301	662
313	302	660
314	302	658
315	303	656
316	303	654
317	304	652
318	304	650
319	305	649
320	306	647
321	306	645
322	307	643
323	307	641
324	308	639
325	308	637
326	309	636
327	309	634
328	310	632
329	310	630
330	311	628
331	311	627
332	312	625
333	313	624
334	313	622
335	314	620
336	314	619
337	315	617
338	315	616
339	316	614
340	317	612
341	317	610
342	318	609
343	318	607
344	319	605
345	319	604
346	320	602
347	320	600
348	321	599
349	321	597
350	322	595
351	322	594
352	323	592
353	323	590
354	324	589
355	324	587
356	325	586
357	325	584
358	326	582
359	327	581
360	327	580
361	328	578
362	329	577
363	329	575
364	330	574
365	330	572
366	331	571
367	331	569
368	332	568
369	333	567
370	333	565
371	334	564
372	334	562
373	335	561
374	335	559
375	336	558
376	336	556
377	337	555
378	337	553
379	338	551
380	338	550
381	339	549
382	340	547
383	340	546
384	341	545
385	341	543
386	342	542
387	342	540
388	343	539
389	343	537
390	344	536
391	344	534
392	345	533
393	345	531
394	346	531
395	347	529
396	348	528
397	348	527
398	349	525
399	349	524
400	350	523
401	350	521
402	351	520
403	351	518
404	352	517
405	352	516
406	353	514
407	353	513
408	354	512
409	354	510
410	355	509
411	355	507
412	356	506
413	356	505
414	357	503
415	358	502
416	358	501
417	359	500
418	359	498
419	360	497
420	360	496
421	361	494
422	361	493
423	362	492
424	362	490
425	363	489
426	363	488
427	364	487
428	365	485
429	365	484
430	366	483
431	366	482
432	367	480
433	367	479
434	368	478
435	368	476
436	369	475
437	369	474
438	370	473
439	371	472
440	371	471
441	372	469
442	372	468
443	373	467
444	373	466
445	374	464
446	374	463
447	375	462
448	376	461
449	376	460
450	377	459
451	378	458
452	378	457
453	379	456
454	379	455
455	380	453
456	380	452
457	381	451
458	381	450
459	382	449
460	383	448
461	384	447
462	384	445
463	385	444
464	385	443
465	386	442
466	386	441
467	387	439
468	387	438
469	388	437
470	388	436
471	389	435
472	389	434
473	390	433
474	390	432
475	391	430
476	391	429
477	392	428
478	392	427
479	393	426
480	393	425
481	394	423
482	395	422
483	395	421
484	396	420
485	396	419
486	397	418
487	397	417
488	398	416
489	398	415
490	399	413
491	399	412
492	400	411
493	400	410
494	401	409
495	401	408
496	402	407
497	402	406
498	403	405
